,status,ensemble,tuw,list,dlr,GDACS_ID,equi7_grid_code,country,iso3,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry
130,Processed,90.7656,18.0648,146.1676,907.1596,FL-1101943,EU020M,Austria,AUT,1101943,Green,1,2023-04-14T01:00:00,2023-04-16T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101943&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101943&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101943,"{'type': 'Point', 'coordinates': [15.1604113753399, 47.99771495]}"
131,Processed,101.5316,162.8636,4.8448,346.6508,FL-1101930,EU020M,Italy,ITA,1101930,Green,1,2023-04-03T01:00:00,2023-04-06T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101930&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101930&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101930,"{'type': 'Point', 'coordinates': [16.5778956, 39.616315]}"
132,Processed,90.0172,557.2116,134.7956,618.0408,FL-1102020,EU020M,Germany,DEU,1102020,Green,1,2023-05-22T01:00:00,2023-05-24T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102020&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102020&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102020,"{'type': 'Point', 'coordinates': [7.8439105, 51.0294497]}"
133,Processed,272.7244,454.1012,488.7928,598.7772,FL-1101991,EU020M,Austria,AUT,1101991,Green,1,2023-05-10T01:00:00,2023-05-24T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101991&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1101991&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101991,"{'type': 'Point', 'coordinates': [15.4382786, 47.0708678]}"
134,Processed,297.4264,465.8656,607.0688,648.4432,FL-1102019,EU020M,France,FRA,1102019,Green,1,2023-05-22T01:00:00,2023-05-23T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102019&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102019&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102019,"{'type': 'Point', 'coordinates': [1.7706797, 45.2678347]}"
135,Processed,32.6772,148.9212,76.5576,64.7564,FL-1101987,EU020M,Germany,DEU,1101987,Green,1,2023-05-07T01:00:00,2023-05-09T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101987&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101987&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101987,"{'type': 'Point', 'coordinates': [8.8557862, 48.2737512]}"
136,Processed,0.6272,3.5136,1.744,4.8328,FL-1102091,EU020M,Italy,ITA,1102091,Green,1,2023-06-25T01:00:00,2023-06-27T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102091&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102091&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102091,"{'type': 'Point', 'coordinates': [16.170695, 39.002487]}"
137,Processed,9.9568,283.2956,18.8084,206.0416,FL-1102084,EU020M,Germany,DEU,1102084,Green,1,2023-06-21T01:00:00,2023-06-26T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102084&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102084&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102084,"{'type': 'Point', 'coordinates': [13.2461296, 52.8455492]}"
138,Processed,1.14,49.2888,6.5924,19.5536,FL-1102082,EU020M,Belgium,BEL,1102082,Green,1,2023-06-20T01:00:00,2023-06-22T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102082&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102082&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102082,"{'type': 'Point', 'coordinates': [4.12521697599374, 50.36192]}"
139,Processed,2.022,4.6868,1.896,11.848,FL-1102083,EU020M,France,FRA,1102083,Green,1,2023-06-20T01:00:00,2023-06-22T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102083&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102083&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102083,"{'type': 'Point', 'coordinates': [0.3745929, 43.9564563]}"
140,Processed,29.1316,266.572,171.5812,57.9464,FL-1102046,EU020M,France,FRA,1102046,Green,1,2023-06-03T01:00:00,2023-06-05T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102046&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102046&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102046,"{'type': 'Point', 'coordinates': [4.8320114, 45.7578137]}"
141,Processed,0.0,11.9852,0.0,2.6052,FL-1102127,SA020M,France,FRA,1102127,Green,1,2023-07-11T01:00:00,2023-07-13T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102127&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102127&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102127,"{'type': 'Point', 'coordinates': [-61.16335, 14.6728531]}"
142,Processed,0.6292,15.4128,4.8372,13.4768,FL-1102124,EU020M,Italy,ITA,1102124,Green,1,2023-07-05T01:00:00,2023-07-07T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102124&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102124&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102124,"{'type': 'Point', 'coordinates': [9.7323783, 45.722665]}"
