status,ensemble,tuw,list,dlr,GDACS_ID,equi7_grid_code,country,iso3,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry,ensemble_daily_extent,tuw_daily_extent,list_daily_extent,dlr_daily_extent
Processed,443.6776,396.576,1155.2916,510.3516,FL-1102096,AS020M,Pakistan,PAK,1102096,Green,1,2023-06-26T01:00:00,2023-06-27T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102096&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102096&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102096,"{'type': 'Point', 'coordinates': [74.3141829, 31.5656822]}",443.6776,396.576,1155.2916,510.3516
Processed,0.6272,3.5136,1.744,4.8328,FL-1102091,EU020M,Italy,ITA,1102091,Green,1,2023-06-25T01:00:00,2023-06-27T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102091&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102091&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102091,"{'type': 'Point', 'coordinates': [16.170695, 39.002487]}",0.6272,3.5136,1.744,9.4008
Processed,5.1104,74.106,9.8412,134.5924,FL-1102092,EU020M,Romania,ROU,1102092,Green,1,2023-06-25T01:00:00,2023-06-26T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102092&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102092&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102092,"{'type': 'Point', 'coordinates': [21.3064873, 46.1825878]}",5.1104,74.106,9.8412,134.5924
Processed,9.9568,283.2956,18.8084,206.0416,FL-1102084,EU020M,Germany,DEU,1102084,Green,1,2023-06-21T01:00:00,2023-06-26T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102084&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102084&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102084,"{'type': 'Point', 'coordinates': [13.2461296, 52.8455492]}",19.46,527.7316,36.3316,303.4596
Processed,1.0932,2.2444,5.3752,15.2056,FL-1102089,EU020M,Kosovo,XXK,1102089,Green,1,2023-06-24T01:00:00,2023-06-25T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102089&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102089&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102089,"{'type': 'Point', 'coordinates': [20.2885757, 42.6593986]}",1.0932,2.2444,5.3752,15.2056
Processed,56.1836,653.0672,121.0192,463.354,FL-1102093,SA020M,Argentina,ARG,1102093,Green,1,2023-06-23T01:00:00,2023-06-25T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102093&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102093&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102093,"{'type': 'Point', 'coordinates': [-69.832275, -38.3695057]}",115.4784,817.1483999999999,245.6544,1006.1243999999999
Processed,0.0,28.5232,0.0,0.838,FL-1102101,SA020M,Barbados,BRB,1102101,Green,1,2023-06-22T01:00:00,2023-06-24T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102101&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102101&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102101,"{'type': 'Point', 'coordinates': [-61.0158268506373, 14.6367927]}",0.0,32.9332,0.0,0.9184
Processed,0.2952,13.8416,5.9504,8.6272,FL-1102087,NA020M,El Salvador,SLV,1102087,Green,1,2023-06-22T01:00:00,2023-06-24T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102087&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102087&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102087,"{'type': 'Point', 'coordinates': [-89.1914249, 13.6989939]}",0.2952,13.8416,5.9504,8.6272
Processed,13.514,18.908,43.4696,138.3496,FL-1102088,AF020M,Uganda,UGA,1102088,Green,1,2023-06-21T01:00:00,2023-06-23T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102088&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102088&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102088,"{'type': 'Point', 'coordinates': [33.2353803, 0.4407072]}",13.514,18.908,43.4696,138.3496
Processed,118.4336,178.132,363.206,268.6272,FL-1102090,AS020M,Bangladesh,BGD,1102090,Green,1,2023-06-21T01:00:00,2023-06-23T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102090&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102090&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102090,"{'type': 'Point', 'coordinates': [89.6430518, 25.8130134]}",118.4336,178.132,363.206,268.6272
Processed,676.6552,616.986,903.3736,2504.4188,FL-1102086,OC020M,Australia,AUS,1102086,Green,1,2023-06-23T01:00:00,2023-06-23T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102086&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102086&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102086,"{'type': 'Point', 'coordinates': [135.6301212, -30.5343665]}",1003.5028000000001,1120.8384,1268.8452,7511.9408
Processed,7.1256,87.13,27.3508,48.7616,FL-1102081,AF020M,Ghana,GHA,1102081,Green,1,2023-06-11T01:00:00,2023-06-23T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102081&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102081&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102081,"{'type': 'Point', 'coordinates': [-1.992426, 5.310935]}",7.1256,87.13,27.3508,48.7616
Processed,0.2688,8.1816,1.4896,4.1088,FL-1102099,AF020M,Cote d'Ivoire,CIV,1102099,Green,1,2023-06-21T01:00:00,2023-06-23T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102099&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102099&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102099,"{'type': 'Point', 'coordinates': [-4.2106525, 5.931283]}",0.2688,8.1816,1.4896,4.1088
Processed,34.76,44.188,37.638,449.8192,FL-1102104,AF020M,South Africa,ZAF,1102104,Green,1,2023-06-20T01:00:00,2023-06-22T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102104&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102104&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102104,"{'type': 'Point', 'coordinates': [17.7333333, -29.2625]}",34.76,44.188,37.638,449.8192
